trigger,n_fwd1,mean_fwd1,med_fwd1,win_fwd1,t_fwd1,p_fwd1,ci_lo,ci_hi,n_fwd3,mean_fwd3,med_fwd3,win_fwd3,t_fwd3,p_fwd3,n_fwd7,mean_fwd7,med_fwd7,win_fwd7,t_fwd7,p_fwd7,fdr10_fwd1,fdr10_fwd3
vol_spike>2x,16,-0.00421,-0.00222,0.5,-0.41136,0.6864,-0.03726,0.02872,16,0.02255,0.01604,0.5,0.63968,0.53137,16,0.06091,0.05199,0.75,1.24005,0.23277,False,False
vol_spike>3x,4,,,,,,,,4,,,,,,4,,,,,,False,False
taker_buy_ratio>0.52,7,,,,,,,,7,,,,,,7,,,,,,False,False
taker_buy_ratio<0.48,103,0.00376,0.00446,0.52427,0.23728,0.81274,-0.00616,0.01399,103,0.01367,0.01052,0.57282,0.69545,0.48779,102,0.03389,0.00028,0.5098,1.27452,0.20446,False,False
funding_negative,61,0.01038,0.00619,0.54098,1.28142,0.2037,-0.00211,0.02325,61,0.01946,0.01592,0.52459,1.10076,0.2742,61,0.05704,0.05587,0.62295,2.29782,0.02429,False,False
funding_flip_neg->pos,31,0.00532,0.00097,0.51613,0.35882,0.72174,-0.00843,0.01949,31,0.04194,0.03509,0.74194,2.21994,0.03302,31,0.0566,0.04238,0.67742,1.72399,0.09347,False,False
funding_flip_pos->neg,31,0.02311,0.02337,0.64516,2.62809,0.0125,0.00795,0.03894,31,0.03105,0.02549,0.6129,1.58642,0.12149,31,0.06311,0.0695,0.64516,1.84451,0.07378,False,False
oi_up>5%_px_up,32,-0.0061,-0.01407,0.34375,-0.9747,0.33629,-0.02413,0.01183,32,0.00845,0.00072,0.53125,0.01772,0.98596,32,0.01769,0.02068,0.5625,-0.01398,0.98892,False,False
oi_up>5%_px_down,26,0.01135,0.01554,0.57692,0.83673,0.40988,-0.00971,0.03174,26,0.02705,0.02246,0.53846,1.05055,0.30249,26,0.05284,0.05445,0.65385,1.189,0.24464,False,False
oi_down>5%,42,-0.0013,-0.01145,0.40476,-0.52868,0.59938,-0.01654,0.01379,42,-0.00663,-0.01619,0.40476,-1.1787,0.24397,41,-0.01589,-0.05611,0.39024,-1.71585,0.09252,False,False
top_ls_pos_rising,122,-0.00023,0.00248,0.52459,-0.73686,0.46205,-0.00982,0.00929,121,0.0091,0.0037,0.53719,0.13778,0.89055,119,0.02102,-0.00796,0.47899,0.28746,0.77404,False,False
20d_breakout,49,-0.00234,-0.01458,0.46939,-0.70768,0.48191,-0.0174,0.01311,49,0.00027,-0.00016,0.4898,-0.62993,0.53116,49,0.0002,-0.02005,0.4898,-0.90534,0.36902,False,False
rsi<30,21,0.00847,0.01454,0.66667,0.48337,0.63368,-0.01505,0.03186,20,0.04147,0.03162,0.7,2.41838,0.02385,18,0.12433,0.08914,0.83333,2.56053,0.0198,False,False
rsi>70,54,-0.00067,-0.01169,0.46296,-0.57736,0.56545,-0.013,0.01077,54,-0.00939,-0.01073,0.40741,-1.64602,0.10413,54,-0.03086,-0.05179,0.33333,-3.05081,0.0032,False,False
down>15%_in_7d,29,0.02901,0.03106,0.75862,2.63809,0.01288,0.00822,0.04803,29,0.05042,0.03509,0.7931,3.53371,0.00114,29,0.09502,0.0695,0.75862,2.67133,0.01198,False,True
up>15%_in_7d,69,0.00098,-0.0141,0.44928,-0.31045,0.75689,-0.01066,0.01327,69,-0.00485,-0.0086,0.4058,-1.51409,0.13288,69,-0.01944,-0.04209,0.43478,-3.1023,0.0024,False,False
big_down_day<-8%,13,-0.00221,-0.00542,0.46154,-0.25353,0.80403,-0.03976,0.03541,13,0.05683,0.06599,0.69231,2.39417,0.03229,12,0.13007,0.09133,0.83333,2.51069,0.0282,False,False
big_up_day>8%,28,0.01117,0.00337,0.53571,0.72813,0.47232,-0.00953,0.03738,28,0.01932,0.00023,0.53571,0.7036,0.48691,28,0.02761,0.02526,0.53571,0.35291,0.72661,False,False
btc_up>2%,52,0.00906,0.00304,0.55769,1.11015,0.27059,-0.00257,0.02103,52,0.01376,0.00084,0.51923,0.56145,0.5762,52,0.01963,0.0185,0.55769,0.10917,0.91335,False,False
btc_down>2%,61,0.00831,-0.00061,0.47541,0.83238,0.40784,-0.00646,0.02313,61,0.01129,0.01316,0.54098,0.2369,0.81342,61,0.01884,-0.00846,0.44262,0.04592,0.9635,False,False
hype_lag_btc_7d<-10%,36,0.01516,0.02116,0.75,1.50158,0.14084,-0.00205,0.03146,35,0.02763,0.02481,0.71429,1.70662,0.09475,32,0.03945,0.03573,0.65625,0.89305,0.37783,False,False
vix_drop>10%_5d,55,0.01709,0.01843,0.63636,2.37656,0.0201,0.00511,0.03024,55,0.05627,0.04706,0.70909,3.70148,0.00045,55,0.05745,0.03699,0.61818,2.48873,0.01508,False,True
vix_spike>15%_5d,47,-0.009,-0.01471,0.44681,-1.75857,0.08382,-0.02289,0.00502,46,-0.01398,-0.0095,0.3913,-1.9183,0.05996,45,0.01809,-0.01493,0.44444,0.00193,0.99847,False,False
vix>25,24,-0.00346,-0.01465,0.29167,-0.63268,0.53247,-0.02114,0.01615,24,0.01871,0.00813,0.5,0.6421,0.52637,24,0.02653,-0.00239,0.5,0.40757,0.68669,False,False
btc_exflow_z<-1,39,-0.00668,-0.00588,0.46154,-1.46381,0.14941,-0.01945,0.0056,39,-0.01175,-0.01344,0.41026,-1.78034,0.08098,39,-0.01696,-0.02511,0.38462,-2.02788,0.04789,False,False
btc_exflow_z>1,39,0.00462,-0.00032,0.48718,0.24634,0.80652,-0.0119,0.02062,39,0.01887,0.01176,0.61538,0.99678,0.32344,39,0.01284,-0.00846,0.46154,-0.21322,0.83216,False,False
