driver,lag_days,corr,p,n
btc_ret1,0,0.5086,0.0,417
btc_ret1,1,0.0035,0.9425,416
btc_ret1,2,-0.0075,0.8795,415
btc_ret1,3,-0.0245,0.6195,414
btc_ret1,4,0.008,0.8717,413
btc_ret1,5,0.0395,0.4236,412
eth_ret1,0,0.5585,0.0,417
eth_ret1,1,0.0023,0.9632,416
eth_ret1,2,-0.0427,0.3853,415
eth_ret1,3,-0.0781,0.1126,414
eth_ret1,4,0.0307,0.5337,413
eth_ret1,5,0.0157,0.7507,412
sol_ret1,0,0.5739,0.0,417
sol_ret1,1,0.0032,0.9475,416
sol_ret1,2,-0.0669,0.1737,415
sol_ret1,3,-0.026,0.5974,414
sol_ret1,4,-0.0119,0.8098,413
sol_ret1,5,0.0216,0.6627,412
vix_chg1,0,-0.2719,0.0,417
vix_chg1,1,-0.0285,0.5621,416
vix_chg1,2,-0.0057,0.9083,415
vix_chg1,3,0.0061,0.9012,414
vix_chg1,4,-0.047,0.3406,413
vix_chg1,5,-0.1627,0.0009,412
