entry_ts,trigger,ret,hours,exit
2025-06-01,fund_flip,0.079,44,tp
2025-06-21,dip,-0.061,22,sl
2025-06-26,vix_drop,0.0201,72,time
2025-07-09,fund_flip,0.079,32,tp
2025-07-27,vix_drop,0.0018,72,time
2025-08-02,fund_flip,0.0306,72,time
2025-08-07,vix_drop,0.079,25,tp
2025-08-13,vix_drop,0.079,28,tp
2025-08-27,vix_drop,-0.061,44,sl
2025-09-08,vix_drop,0.079,9,tp
2025-09-24,dip,-0.061,36,sl
2025-10-11,dip,0.079,10,tp
2025-10-16,dip,-0.061,32,sl
2025-10-21,vix_drop,-0.061,6,sl
2025-10-26,vix_drop,0.079,12,tp
2025-11-05,dip,0.079,16,tp
2025-11-12,vix_drop,-0.061,55,sl
2025-11-23,dip,0.079,22,tp
2025-11-28,fund_flip+vix_drop,-0.061,72,sl
2025-12-07,vix_drop,-0.061,15,sl
2025-12-18,dip,-0.061,20,sl
2025-12-23,vix_drop,-0.0206,72,time
2026-01-11,fund_flip,0.0702,72,time
2026-01-21,dip,0.079,66,tp
2026-01-26,vix_drop,0.079,19,tp
2026-02-02,fund_flip,0.079,15,tp
2026-02-11,vix_drop,0.079,36,tp
2026-02-24,dip,0.079,39,tp
2026-03-05,fund_flip,-0.061,34,sl
2026-03-12,fund_flip+vix_drop,0.0429,72,time
2026-03-18,vix_drop,-0.061,37,sl
2026-03-30,fund_flip,-0.0489,72,time
2026-04-04,vix_drop,0.0183,72,time
2026-04-09,vix_drop,0.079,39,tp
2026-04-15,fund_flip,0.0245,72,time
2026-05-01,fund_flip,0.0454,72,time
2026-05-07,fund_flip,-0.0055,72,time
2026-05-12,fund_flip,-0.061,35,sl
2026-05-17,fund_flip,0.079,19,tp
2026-05-25,fund_flip,-0.061,27,sl
2026-05-31,fund_flip,0.079,25,tp
2026-06-07,dip,0.079,25,tp
2026-06-13,fund_flip+vix_drop,0.079,48,tp
2026-06-22,fund_flip,-0.061,33,sl
2026-06-28,fund_flip,0.079,42,tp
2026-07-03,vix_drop,0.0653,72,time
